,position_name,company_name,job_location,Seniority level,Employment type,Job function,Industries,sql, python , excel , r , tableau , power bi ,collection_date,search
84,Data Processor (Days),Vitalograph,"Ennis, County Clare, Ireland",Entry level,Full-time,Administrative,Medical Equipment Manufacturing,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
85,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,1,1,0,0,25/08/2022," ""Data"" ""Analyst"" "
86,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
87,Junior Credit Analyst,Morgan McKinley,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
88,Data/Client Analyst,Confluence,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Software Development,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
89,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
90,Sales Operation Analyst (Contract),Maxim Integrated,"Dublin, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,"Appliances, Electrical, and Electronics Manufacturing, Computer Hardware Manufacturing, and Semiconductor Manufacturing",1,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
91,Global Data Privacy Analyst,CareerAddict,"Dublin, County Dublin, Ireland",Entry level,Contract,Engineering and Information Technology,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
92,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,0,0,1,1,25/08/2022," ""Data"" ""Analyst"" "
93,Finance Analyst,LexisNexis Risk Solutions Group,Ireland,Entry level,Full-time,Finance and Sales,Information Services,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
94,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,1,0,1,1,25/08/2022," ""Data"" ""Analyst"" "
95,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,1,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
96,Chargeback Operations Analyst,EML,Ireland,Entry level,Full-time,"Information Technology, Finance, and Analyst",IT Services and IT Consulting and Financial Services,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
97,English Speaking Media Search Analyst | 100% Remote,TELUS International AI Data Solutions,"Dublin 16, Ireland",Entry level,Part-time,"Research, Analyst, and Information Technology","Online Audio and Video Media, Research Services, and Technology, Information and Internet",0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
98,Data Analyst - Setup and Implementation,Life Science Recruitment,"Cork, County Cork, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
99,Data/Technical Analyst,Confluence,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Software Development,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
100,Graduate IT Applications Analyst-(Temp),Regeneron,"Limerick, County Limerick, Ireland",Entry level,Full-time,Information Technology,Biotechnology Research,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
101,Finance Analyst,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
102,Financial Analyst,CBRE Global Workplace Solutions (GWS),"Dublin, County Dublin, Ireland",Entry level,Full-time,"Engineering, Finance, and Information Technology",Leasing Non-residential Real Estate and Financial Services,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
103,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
104,QC Analyst,Cpl,"County Laois, Ireland",Entry level,Full-time,Quality Assurance,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
105,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
106,Lab Support API Analyst part time day role - Ringaskiddy,Eurofins BioPharma Product Testing Ireland Ltd,"Ringaskiddy, County Cork, Ireland",Entry level,Part-time,Information Technology,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
107,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
108,Global Data Privacy Analyst,Trust In SODA,"Dublin, County Dublin, Ireland",Entry level,Full-time,Analyst,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
109,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
110,Service Desk Analyst,Davy,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Financial Services,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
111,Financial Analyst,NetApp,"Cork, County Cork, Ireland",Entry level,Full-time,Finance and Sales,Data Infrastructure and Analytics,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
112,Financial Analyst,Flex,"Cork, County Cork, Ireland",Entry level,Full-time,Finance,"Appliances, Electrical, and Electronics Manufacturing",1,0,1,0,1,1,25/08/2022," ""Data"" ""Analyst"" "
113,Data & Insights Specialist,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
114,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
115,Digital Marketing Analyst,Frontiers,Ireland,Entry level,Full-time,Management and Manufacturing,Book and Periodical Publishing,1,1,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
116,Quality Assurance Analyst,StatPro,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,Financial Services,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
117,Test Analyst,permanent tsb,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting and Information Services,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
118,Financial Analyst,Morgan McKinley,"South Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
119,"Cork, Ireland | Business Data Technician - A Data analyst position",RWS Group,"Cork, County Cork, Ireland",Entry level,Full-time,Analyst and Information Technology,Translation and Localization,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
120,Test Analyst,permanent tsb,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting and Information Services,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
121,Financial Analyst,NetApp,"Cork, County Cork, Ireland",Entry level,Full-time,Finance and Sales,Data Infrastructure and Analytics,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
122,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
123,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
124,Financial Analyst,Amdocs,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
125,QC Analyst,Morgan McKinley,"Cork, County Cork, Ireland",Entry level,Contract,Quality Assurance,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
126,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
127,Insights Analyst,CarTrawler,"Dublin City, County Dublin, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Software Development,1,1,0,1,1,0,25/08/2022," ""Data"" ""Analyst"" "
128,Junior Research Analyst - Canadian Market,"Glass, Lewis & Co.","Limerick, County Limerick, Ireland",Entry level,Contract,Research,Financial Services,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
129,English Speaking Media Search Analyst | 100% Remote,TELUS International AI Data Solutions,"Dublin 12, County Dublin, Ireland",Entry level,Part-time,"Research, Analyst, and Information Technology","Online Audio and Video Media, Research Services, and Technology, Information and Internet",0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
130,Data Processors (Evenings),Vitalograph,"Ennis, County Clare, Ireland",Entry level,Full-time,Administrative,Medical Equipment Manufacturing,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
131,Lab Support Analyst API - Ringaskiddy,Eurofins BioPharma Product Testing Ireland Ltd,"Ringaskiddy, County Cork, Ireland",Entry level,Full-time,Information Technology,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
132,Laboratory Analyst,Pinewood Healthcare,"Ballymacarbry, County Waterford, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
133,English Speaking Media Search Analyst | 100% Remote,TELUS International AI Data Solutions,"County Dublin, Ireland",Entry level,Part-time,"Research, Analyst, and Information Technology","Online Audio and Video Media, Research Services, and Technology, Information and Internet",0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
134,Sales Reconciliation Analyst,Retail inMotion,"Dublin, County Dublin, Ireland",Entry level,Full-time,"Information Technology, Finance, and Administrative",IT Services and IT Consulting and Airlines and Aviation,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
135,IT Analyst,AXA Partners,"Shannon, County Clare, Ireland",Entry level,Full-time,"Project Management, Information Technology, and Engineering",Insurance,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
136,Commercial & Risk Data Analyst,Morgan McKinley,"Cork, County Cork, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
137,Microbiology Analyst,Takeda,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
138,English Speaking Media Search Analyst | 100% Remote,TELUS International AI Data Solutions,"County Dublin, Ireland",Entry level,Part-time,"Research, Analyst, and Information Technology","Online Audio and Video Media, Research Services, and Technology, Information and Internet",0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
139,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,0,1,1,0,25/08/2022," ""Data"" ""Analyst"" "
140,Binding Analyst,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
141,Graduate IT Validation Analyst-(Temp),Regeneron,"Limerick, County Limerick, Ireland",Entry level,Full-time,Information Technology,Biotechnology Research,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
142,Legal Review Analyst,A&L Goodbody LLP,"Dublin, County Dublin, Ireland",Entry level,Full-time,Legal,Law Practice,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
143,VAT Data Analyst,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Temporary,Information Technology,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
144,System Analyst,Clipper Logistics plc,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Operations Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
145,Lab analyst,"LSC, Life Science Consultants","Dublin, County Dublin, Ireland",Entry level,Contract,"Research, Analyst, and Information Technology",Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
146,Finance Analyst,Morgan McKinley,"Cork, County Cork, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,1,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
147,Fundamental Analyst - Spanish,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
148,Fundamentals Analyst - Multiple languages,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
149,English Speaking Media Search Analyst | 100% Remote,TELUS International AI Data Solutions,"Dublin 14, County Dublin, Ireland",Entry level,Part-time,"Research, Analyst, and Information Technology","Online Audio and Video Media, Research Services, and Technology, Information and Internet",0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
150,Payment Technical Analyst,NTT DATA Services,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
151,Commercial Data Analyst,Hostelworld Group,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Travel Arrangements,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
152,Technical Analyst,networx | Recruitment Software & Services,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Non-profit Organizations and Civic and Social Organizations,1,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
153,Inventory Analyst,Astreya,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology and Supply Chain,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
154,Lab Analyst (Biochemistry),Adaptive HVM,"Dublin, County Dublin, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology","Appliances, Electrical, and Electronics Manufacturing",0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
155,Finance Analyst,Securitas Ireland,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Security and Investigations,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
156,Web Analyst,GemPool Recruitment,Ireland,Entry level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
157,AML/DD Analyst,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
158,Technical Support Analyst - Ireland,FreedomPay,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
159,Client Services Analyst,Confluence,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Software Development,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
160,Fundamental Analyst - Portuguese,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
161,Data Configuration Analyst,Confluence,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Software Development,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
162,Technical Support Analyst,Realtime Recruitment,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
163,Field Engineering Support Analyst,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting,0,0,1,0,0,1,25/08/2022," ""Data"" ""Analyst"" "
164,"Systems Analyst, Investigator Payments Group (IPG)",ICON plc,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Information Technology,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
165,Quality Control Analyst,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
166,QC Analyst P2 - Grange Castle,Takeda,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
167,Financial Analyst - Fundamentals – French language (Finance & Accounting),Infosys BPM,"Dublin, County Dublin, Ireland",Entry level,Full-time,Accounting/Auditing and Finance,"Banking, Financial Services, and Accounting",0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
168,Support Helpdesk Analyst,OpenSky Data Systems,"Naas, County Kildare, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
169,Technical Analyst - Aircraft Leasing,Peak Performance Recruitment,"Dublin, County Dublin, Ireland",Entry level,Full-time,Engineering,Aviation and Aerospace Component Manufacturing and Airlines and Aviation,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
170,Data Protection Analyst,Cook Medical Europe,"Limerick, County Limerick, Ireland",Entry level,Full-time,Engineering and Information Technology,Medical Equipment Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
171,Immunoassay Analyst,Charles River Laboratories,"Ballina, County Mayo, Ireland",Entry level,Contract,Business Development and Sales,Biotechnology Research,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
172,Web Analytics Analyst,CarTrawler,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Software Development,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
173,Live Support & Monitoring Analyst - Part time,Stats Perform,"Limerick, County Limerick, Ireland",Entry level,Part-time,Information Technology,Spectator Sports,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
174,Data Analyst - German,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
175,Application Support Analyst,Marex,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Securities and Commodity Exchanges,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
176,Portuguese speaking Collections Analyst,Grifols,"Dublin, County Dublin, Ireland",Entry level,Full-time,Accounting/Auditing and Finance,Medical Equipment Manufacturing and Pharmaceutical Manufacturing,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
177,Media Search Analyst,TELUS International AI Data Solutions,Galway Metropolitan Area,Entry level,Part-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
178,QC Chemistry Analyst (11 month CPL Contract),Pfizer,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
179,Systems Analyst,Corporate Functions,"Kilkenny, County Kilkenny, Ireland",Entry level,Full-time,Information Technology,Food and Beverage Services,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
180,Finance Analyst Grade VII Naas,Cpl,"Kildare, County Kildare, Ireland",Entry level,Temporary,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
181,Helpdesk Support Analyst- Tier 2,Beacon Hospital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Hospitals and Health Care,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
182,QA Analyst,Expleo Group,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,IT Services and IT Consulting,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
183,Jr Finance Analyst - Multilingual,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
184,AIFM Analyst,Intertrust Group,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Financial Services,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
185,Finance Transformation Analyst,Morgan McKinley,"Cork, County Cork, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
186,IT Analyst Enterprise Solutions,Maynooth University,"Maynooth, County Kildare, Ireland",Entry level,Full-time,Information Technology,Higher Education,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
187,QA Analyst,Expleo Group,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,IT Services and IT Consulting,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
188,Italian speaking Collections Analyst,Grifols,"Dublin, County Dublin, Ireland",Entry level,Full-time,Accounting/Auditing and Finance,Medical Equipment Manufacturing and Pharmaceutical Manufacturing,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
189,English Speaking Media Search Analyst,TELUS International AI Data Solutions,Greater Dublin,Entry level,Part-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
190,Senior Consultant - Data Analytics,EY,"Dublin, County Dublin, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Accounting,1,1,0,1,1,0,25/08/2022," ""Data"" ""Analyst"" "
191,Financial Analyst,Glanbia,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance,Food and Beverage Services,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
192,2022- 100 Business Intelligence Specialist,Jigsaw - The National Centre for Youth Mental Health,"Dublin, County Dublin, Ireland",Entry level,Contract,Research,Mental Health Care,1,0,1,0,0,1,25/08/2022," ""Data"" ""Analyst"" "
193,QC Sample Management Analyst,Pfizer,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
194,IT Support Analyst,Nostra,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
195,QC Analyst Level II,Viatris,"Inverin, County Galway, Ireland",Entry level,Full-time,Quality Assurance,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
196,QC Analyst,Viatris,"Damastown, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,Pharmaceutical Manufacturing,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
197,Nordic Fundamentals Analyst,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
198,Operational Finance Analyst,Morgan McKinley,"Cork, County Cork, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
199,Accounts Payable Analyst,Horizon,"Dublin, County Dublin, Ireland",Entry level,Full-time,Accounting/Auditing and Finance,Biotechnology Research,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
200,English Speaking Media Search Analyst,TELUS International AI Data Solutions,"Dublin, County Dublin, Ireland",Entry level,Part-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
201,Senior Consultant - Data Analytics,EY,"Limerick, County Limerick, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Accounting,1,1,0,1,1,0,25/08/2022," ""Data"" ""Analyst"" "
202,Experienced Chemistry Analyst - East Cork Carrigtohill,Eurofins BioPharma Product Testing Ireland Ltd,"Cork, County Cork, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
203,QC Analyst,PSC Biotech Corporation,"Carlow, County Carlow, Ireland",Entry level,Full-time,Quality Assurance,Biotechnology Research,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
204,Video Collection Analyst,Stats Perform,"County Limerick, Ireland",Entry level,Part-time,Information Technology,Spectator Sports,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
205,Senior Consultant - Data Analytics,EY,"Dublin, County Dublin, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Accounting,1,1,0,1,1,0,25/08/2022," ""Data"" ""Analyst"" "
206,Laboratory Analyst - GC,Morgan McKinley,"Cork, County Cork, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
207,Mutual Fund Analyst French language,Infosys BPM,"Dublin, County Dublin, Ireland",Entry level,Full-time,"Accounting/Auditing, Finance, and Analyst",IT Services and IT Consulting,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
208,QC Analyst - Raw Materials (18 month),Regeneron,"Limerick, County Limerick, Ireland",Entry level,Full-time,Quality Assurance,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
209,Senior Consultant - Data Analytics,EY,"Galway, County Galway, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Accounting,1,1,0,1,1,0,25/08/2022," ""Data"" ""Analyst"" "
210,Senior Consultant - Data Analytics,EY,"Galway, County Galway, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Accounting,1,1,0,1,1,0,25/08/2022," ""Data"" ""Analyst"" "
211,Media Search Analyst,TELUS International AI Data Solutions,"Oranmore, County Galway, Ireland",Entry level,Part-time,Human Resources,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
212,Media Search Analyst,TELUS International AI Data Solutions,"Ballinasloe, County Galway, Ireland",Entry level,Part-time,Human Resources,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
213,Functional QA Analyst,Expleo Group,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,IT Services and IT Consulting,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
214,Software Engineer - Data Engineering,Houghton Mifflin Harcourt,"Dublin, County Dublin, Ireland",Entry level,Full-time,Engineering and Information Technology,Retail Books and Printed News,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
